parent_asin,product_type,title,average_rating,rating_number,price,store,categories,features,description
B09LGBZBVV,laptop,"HP Newest 15 Laptop, 15.6"" Full HD Touchscreen, Intel Core i7-1165G7, 64GB RAM, 2TB PCIe SSD, Backlit Keyboard, Fingerprint Reader, HDMI, Webcam, Type-C, Windows 11 Home, Silver",4.5,140,1015.99,HP,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""【Memory & Storage】Memory is 64GB high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once. Hard Drive is 2TB PCIe NVMe M.2 Solid State Drive which allows to fast bootup and data transfer"", ""【Processor】11th Gen Intel Core i7-1165G7 2.80GHz Quad-Core Processor (12MB Cache, up to 4.70GHz), Intel Iris Xe Graphics"", ""【Screen】15.6\"" Full HD IPS Touchscreen LED display (1920 x 1080)"", ""【Ports】2x USB 3.0 Type A, 1x USB 3.0 Type-C, 1x HDMI, 1x headphone/microphone combo, 1 x Multi-Format SD Media Card Reader, Realtek Wi-Fi and Bluetooth"", ""【Operating System】Windows 11 Home""]",[]
B00KTHV9UY,laptop,"HP 14-Q039wm Celeron 2955 1.4GHz 4 GB 16 GB SSD, Turquoise (Certified Refurbished)",3.4,106,,Amazon Renewed,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""Intel Celeron 2955U 1.4 GHz (2 MB Cache)"", ""4 GB DDR3L SDRAM"", ""16 GB Solid-State Drive"", ""14.0-Inch Screen, Intel HD Graphics, Chrome OS""]","[""Product Description"", ""HP FACTORY RECERTIFIED PAVILION 14-Q039WM CHROMEBOOK INTEL:2955U/CDC-1.40GULV 4GB/ONBOARD 16GB/SSD MR 10/100 802.11A/G/N+BT HSPA+/WWAN WEBCAM INTEL-HD/IGP 14BVHD CHROME-O/S 4-CELL 4.1LBS OCEAN-TURQUOISE 90DAY HP DIRECT TO END-USER WARRANTY"", ""Amazon.com""]"
B00AWEZ11M,laptop,"Samsung Series 3 NP350V5C-A01US 15.6"" Core i5 750GB HDD Laptop(Titan_sliver)",3.1,26,,SAMSUNG,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""In the Box - Samsung NP350V5C-A01US, AC Adapter, 6-cell Lithium-Ion Battery; Pre-installed Software - Genuine Windows 8, 1-Year Limited Warranty"", ""Intel Core i5-3210M 2.5GHz Processor with Turbo Boost Technology 2.0 up to 3.1GHz"", ""3MB Cache"", ""6GB DDR3 1600MHz SDRAM"", ""750GB 5400RPM SATA Hard Drive""]","[""Make your road companion a fast, stylish one. Make it a Samsung Series 3 NP350V5C notebook. With Samsung Fast Start technology, you can work, email, browse and update your status virtually as soon as you think about it. And while you're working or playing, you'll appreciate the Samsung LED HD screen. Bright and beautiful, every file, every picture and every movie will be sharp and colorful. This Series 3 notebook is powered by a fast processor, while roomy hard drives have plenty of room for music, photos, movies and work. Whether you need a computer for work, school, or entertainment purposes, this Samsung Series 3 notebook is an economical option that gets the job done. The 750 GB hard drive offers plenty of space to store family photos, work presentations, music downloads, and home videos. A front-facing webcam lets you stay connected with the ones you care about, and an internal network card lets you instantly connect to any available WiFi connection. The notebook comes with Windows 8 preinstalled, so you can get started using it right away. 15.6 HD LED-Backlit Display (1366x768) Super Multi DL DVD+/-RW Intel HD Graphics 4000 802.11b/g/n WLAN Bluetooth 4.0 Ethernet LAN (RJ-45) 3-in-1 Multi Card Slot (SD, SDHC, SDXC) Integrated 1.3MP HD WebCam 3W Stereo Speakers with HD Audio & SoundAlive 101-Key Keyboard and Touch Pad Connections - 2 x USB 3.0, 2 x USB 2.0, Headphone & Microphone, VGA, HDMI, RJ-45 (LAN) Approximate Unit Dimensions - 14.6 (W) x 9.5 (D) x 1.29 (H) inches Approximate Unit Weight - 5.51 pounds""]"
B089B6TCQC,laptop,"Latitude 7480 14 Business Notebook, 14 HD Anti-Glare, Intel Core i5-6300U 2.4GHz Dual-Core, 16GB DDR4, 256GB Solid State Drive, Webcam, Bluetooth, Windows 10Pro (Renewed)",4.2,260,189.99,Amazon Renewed,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""This machine does not support Windows 11 upgrade.""]","[""Everyday computing just got easier with the Dell Latitude 7480 Laptop. Fully loaded with a Core i5 2.60 GHz Processor; the Dell Latitude 7480 makes for a speedy and efficient Laptop. The 256 GB SSD provides ample space to store all crucial data safely.""]"
B09NZSXGZR,laptop,"2022 HP Pavilion Laptop, 14-inch HD Touchscreen, AMD 3000 Series Processor, Long Battery Life, Webcam, HDMI, Windows 10 + One Year of Office365 (14, 8GB RAM | 192GB Storage, Black)",4.2,64,303.83,HP,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""【Processor】AMD 3020e (1.2 GHz base clock, up to 2.6 GHz max boost clock, 4 MB L3 cache, 2 cores), Featuring true machine intelligence and a newly designed efficient architecture, the groundbreaking processor learns and adapts to your needs so you can achieve more"", ""【Display】14\"" diagonal HD SVA BrightView micro-edge WLED-backlit touch screen (1366 x 768), enables you to focus more on your work and studies"", ""【Memory & Storage】8GB High-Bandwidth DDR4 Memory, 192GB Storage, Smoothly run multiple applications and browser tabs at the same time, ensure the smoothness of daily use and improve your work efficiency"", ""【Operating System】 Windows 10 Home | 10.5 Hrs+ Battery Life"", ""【Included in the package】Bundled with Microfiber Cloth""]","[""We sells computers with professional upgrades and customization. The manufacturer box will be opened by our engineers for customizing and testing. Defects & blemishes are significantly reduced by our in-depth inspection & testing."", ""Processor:"", ""AMD 3020e (1.2 GHz base clock, up to 2.6 GHz max boost clock, 4 MB L3 cache, 2 cores)"", ""Graphics Card"", "":"", ""Radeon™ Graphics"", ""Touchscreen"", "": Yes"", ""Display"", "": 14\"" diagonal HD SVA BrightView micro-edge WLED-backlit touch screen, 220 nits, 45% NTSC (1366 x 768)"", ""Webcam"", "": HP True Vision 720p HD camera with integrated dual array digital microphone"", ""Memory"", "": Up to 16GB DDR4-2666 SDRAM"", ""Internal Storage"", "": Up to 576GB PCIe® NVMe™ M.2 SSD Hard Drive"", ""Ports"", "": 1 SuperSpeed USB Type-C® 5Gbps signaling rate; 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 1.4b; 1 AC smart pin; 1 headphone/microphone combo"", ""Wireless"", "": Realtek 802.11 b/g/n/ac (2x2) and Bluetooth® 5 combo"", ""Dimensions"", "": 18x12x3 inches"", ""Weight"", "": 3.22 Pounds"", ""Power Supply Type"", "": 45 W Smart AC power adapter"", ""Operating System"", "": Windows 10 Home""]"
B00TPTQZCO,laptop,"HP 15-g035wm Laptop AMD A8-Series, 15.6"" 4GB 500GB HDD Win 8.1 Black (Renewed)",3.7,47,,Amazon Renewed,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]",[],"[""This pre-owned or refurbished product has been professionally inspected and tested to work and look like new. How a product becomes part of Amazon Renewed, your destination for pre-owned, refurbished products: A customer buys a new product and returns it or trades it in for a newer or different model. That product is inspected and tested to work and look like new by Amazon-qualified suppliers. Then, the product is sold as an Amazon Renewed product on Amazon. If not satisfied with the purchase, renewed products are eligible for replacement or refund under the Amazon Renewed Guarantee.""]"
B01M7QFZ9Q,laptop,"Acer Aspire One 14-Inch Cloudbook Flagship Laptop (Intel Celeron Dual Core up to 2.16Ghz, 2GB RAM, 32GB eMMC, Wifi, Bluetooth 4.0, Windows 10 Home) (Renewed)",3.6,58,,Amazon Renewed,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""Intel Celeron N3050 Dual-Core 1.6GHz witn Burst up to 2.16GHz Processor, 2GB DDR3 RAM, 32GB eMMC HDD;"", ""14 Inch HD Widescreen ComfyView LED-backlit Display (1366 x768) with build in webcam, Intel HD Graphics"", ""1 x USB 3.0 port, 1 x USB 2.0 port, 802.11ac WIFI,HDMI, Webcam, Bluetooth 4.0;"", ""Windows 10 Home, Weight 3.53lb,""]",[]
B08J8GZRJZ,laptop,"SAMSUNG 2021 Chromebook 4 11.6 Inch Laptop, Intel Celeron N4000 up to 2.6 GHz, 4GB LPDDR4 RAM, 32GB eMMC, WiFi, Bluetooth, Webcam, Chrome OS + NexiGo 32GB MicroSD Card Bundle",4.0,38,,SAMSUNG,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""【11.6 Inch Laptop】11.6 inches HD (1366 x 768) LED screen with built-in 720p camera, Intel UHD Graphics 600"", ""【Dual-Core Celeron N4000】Intel Celeron N4000 (1.1 GHz base frequency up to 2.6 GHz, 4 MB cache, 2 cores), 2-cell lithium-ion, up to 11 hours battery life mixed-use"", ""【High Speed】RAM is upgraded to 4GB LPDDR4 memory for multitasking Adequate high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once"", ""【Enormous Space】Hard Drive is upgraded to 32GB eMMC provides massive storage space for huge files, so that you can store important digital data and work your way through it with ease. Enhance the overall performance of the laptop for business, student, daily usage"", ""【NexiGo Bundle】 Bundled with NexiGo 32GB MicroSD Card, offers cost-effective portable solution instantly boosting available storage space for your laptop. 1 x USB 3.0, 1 x USB-C, 1 x MicroSD Multi-media Card, 1 x headphone/microphone combo. 1-Year NexiPC Limited Warranty | View description and warranty section below for more details.""]","[""NexiPC sells computers with upgraded configurations. The manufacturer box is opened for it to be tested and inspected and to install the upgrades to achieve the specifications as advertised. Defects & blemishes are significantly reduced by our in-depth inspection & testing."", ""Product Overview:"", ""With Intel Celeron N4000 Processor, 2-Core Upgrade performance with smooth responsiveness. This smart system accelerator learns from your everyday computing and helps your performance, 2020 Samsung Chromebook 4 11.6  inch Laptop making everything fast, smooth, and responsive."", ""Key Specifications:"", ""Operating System:"", ""Chrome OS"", ""Display:"", ""11.6 inches HD (1366 x 768) LED screen with built-in 720p camera"", ""Processor:"", ""Intel Celeron N4000 (1.1 GHz base frequency up to 2.6 GHz, 4 MB cache, 2 cores)"", ""Storage Drive:"", ""32GB eMMC"", ""Memory RAM:"", ""4GB LPDDR4 RAM"", ""Network:"", ""802.11ac and Bluetooth 4.0"", ""Graphics:"", ""Intel UHD Graphics 600"", ""Keyboard"", "": Standard Keyboard"", ""Screen"", "": Non-Touch"", ""Wireless Mouse"", "": No"", ""Optical Drive"", "": No"", ""Battery Life"", "": 2-cell lithium-ion, up to 11 hours battery life mixed-use"", ""Ports"", "": 1 x USB 3.0, 1 x USB-C, 1 x MicroSD Multi-media Card, 1 x headphone/microphone combo"", ""Dimensions"", "": 11.33 x 7.96 x 0.66 inches"", ""Weight"", "": 2.6 lbs"", ""Color"", "": Black""]"
B0021L9HK0,laptop,HP Pavilion DV4-1227US 14.1-Inch Laptop - Espresso Black,3.2,33,,HEWLETT PACKARD,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""2.00Ghz Intel Core2 Duo Processor T6400"", ""4 GB DDR2 RAM (Max Supported 8GB)"", ""320GB (5400RPM) Hard Drive (SATA), Dual-layer Lightscribe DVD±R drive"", ""Genuine Windows Vista Home Premium 64-bit with Service Pack 1"", ""14.1\"" Diagonal WXGA High-Definition HP BrightView Widescreen Display (1280 x 800)""]","[""Product Description"", ""Amazon Exclusive dv4-1227us expands on the sophisticated elegance of the current line, the new dv series is defined by fluid, modern lines and metalized finishes with surprising innovations inside and out. The dv4 series Imprint pattern provides subtle contrast to the liquid appearance of the metallic finish. And touch media controls light up and become visible only when the system is powered on further enhancing the clean appearance. HP’s mobile products have won coveted International Red Dot, iF and CES Innovation design awards and been recognized by other leading design institutions. Providing more choices than ever, HP MediaSmart enables access to DVDs, videos, photos, music, Internet TV, and streamed or recorded TV (with an optional TV Tuner) at the touch of a button. Built-in demos show you how to add music to your slide shows or videos with drag-and-drop functionality – and much more. An HDMI port enables you to watch films on an HD TV. Muvee Reveal makes creating films complete with effects and transitions a snap! Extras include dual headphone jacks and an HP Mobile Remote Control. Eco Highlights: ENERGY STAR qualified and EPEAT Silver registered, HP advanced power management features and aggressive default power settings reduce energy consumption, exclusive use of EPA SmartWay carriers for reduced transportation-related emissions, recyclable packaging material for less waste and a variety of environmentally responsible accessories are available including extended life batteries and mice."", ""Amazon.com""]"
B09HNNTVJ7,laptop,"MSI Crosshair17 17.3"" 144Hz FHD Gaming Laptop Intel Core i7-11800H RTX3050 16GB 512GBNVMe SSD Win10",4.5,101,,MSI,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""17.3\"" Thin Bezel FHD, IPS-Level 144Hz, 72% NTSC"", ""Intel Core i7-11800H 8 Core 2.4 - 4.6GHz"", ""NVIDIA GeForce RTX3050 Laptop GPU 4G GDDR6"", ""16GB (8G*2) DDR4 3200MHz; 2 Sockets; Max Memory 64GB"", ""512GB NVMe SSD""]","[""MSI Crosshair17 17.3\"" 144Hz FHD Gaming Laptop Intel Core i7-11800H RTX3050 16GB 512GBNVMe SSD Win10""]"
B09KMWBB9K,laptop,"AWOW Windows 11 Tablet 10.1 Inch with Keyboard, 2 in 1 Laptop Detachable Touchscreen, 8GB RAM 128GB SSD, Intel Celeron N4120, 2.4G+5G WiFi, Bluetooth4.2, USB3.0, HDMI, Dual Camera",3.8,120,,AWOW,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""2 in 1 Laptops""]","[""【Powerful Performance】AiBook 10 tablet equipped with Intel N4120 CPU, with 4 cores and 4 threads, this windows tablet is capable of speeds up to 2.6Ghz, making it the perfect companion for all your day-to-day activities. Integrated with 9th Gen Intel Graphics 600 and equipped with 6500mAh battery, perfect for playing casual games, browsing website, watching YouTube, listening to music and using word processing programs."", ""【Large Storage Capacity】This 2-in-1 tablet PC built-in LPDDR4 8GB RAM, you can effortlessly open dozens of web tabs and smoothly run multiple tasks and software applications without any lag. With eMMC 128GB storage, expandable up to 512GB, you'll have ample space to store all your important files, HD movies, photos, and documents. Plus, with its unique blend of laptop-like power and tablet portability, you can enjoy a seamless computing experience whether you're on-the-go or at your desk."", ""【10.1 Inch IPS Display】The AWOW 10.1 inch Windows 11 tablet is a powerful and sleek device that is designed to provide an exceptional viewing experience. With its high-resolution 1280 x 800 Full HD IPS display, you can expect to see every detail in stunning clarity and vibrant colors. Two speakers deliver realistic and immersive audio. Whether you're watching a movie or listening to music, you can enjoy a truly captivating experience."", ""【Detachable Touchscreen with Keyboard】Looking to switch seamlessly between a tablet and a laptop? This windows tablet boasting a detachable touchscreen and English keyboard, this device offers unparalleled versatility for both work and play. This 10.1inch tablet also features an adjustable stand bracket, allowing you to customize your viewing experience with ease. Whether you're typing away at your desk or kicking back on the couch, you can enjoy a maximum standing angle of 145°."", ""【Premium design】Our cutting-edge laptop boasts an array of interfaces including 1x USB 3.0, 1x Micro HDMI port, 1x TF card port, 1x Headphone jack and 1x 12 V.3 A DC jack. Plus, with its high-quality dual stereo speakers, energy-efficient Bluetooth 4.2, and 2.0MP+5.0MP dual cameras, you can snap stunning pictures, video chat with loved ones, and participate in video conferences for school or work with ease. So don't miss out on this incredible laptop that has everything you need!""]",[]
B002OEBIJC,laptop,Toshiba Mini NB205-N330WH 10.1-Inch Frost White Netbook - 9 Hours of Battery Life (Windows 7 Starter),4.2,109,,Toshiba,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""1.66GHz Intel N280 Atom Processor"", ""1GB DDR2 533MHz Memory"", ""250GB 5400RPM SATA Hard Drive, Integrated Wi-Fi, Bluetooth"", ""10.1\"" LED Backlit Display, 1024x600 native resolution (WSVGA)"", ""Microsoft Windows 7 Starter (32 bit), *9 Hours of Battery Life""]",[]
B09Z13GX17,laptop,"HP 2022 Newest 17.3'' HD + IPS Display Business Laptop 11th Gen (Intel i3-1115G4 2-Core, 16GB RAM, 256GB PCIe SSD, Intel UHD, WiFi 5, Bluetooth 5.2, HD Webcam, HDMI, Win 11 Home S-Mode) with Hub",4.2,69,,HP,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""【Upgraded】 Seal is opened for Hardware/Software upgrade only to enhance performance. 17.3\"" HD+ (1600x900) 60Hz IPS Display; 802.11a/b/g/n/ac Wifi, Bluetooth 5.2, Ethernet LAN (RJ-45), 720p HD Webcam, ."", ""11th Gen Intel Core i3-1115G4 3.00GHz Processor (upto 4.1 GHz, 6MB Cache, 2-Cores, 4-Threads, ) ; Intel UHD Integrated Graphics, ."", ""【High Speed and Multitasking】 16GB DDR4 SODIMM; 45W Power Supply, 3-Cell 41 WHr Battery; Natural Silver Color, ."", ""256GB PCIe NVMe SSD; 2 USB 3.1 Gen1, 1 USB 2.0, 1 HDMI, SD Reader, No Optical Drive, Headphone/Microphone Combo Jack., Windows 11 Home S-Mode-64., 1 Year Manufacturer warranty from GreatPriceTech (Professionally upgraded by GreatPriceTech)"", ""Includes Dockztorm USB Hub(Special Edition Portable Docztorm Data Hub;Super Speedy Data Syn Rate upto 5Gbps)""]","[""GreatPriceTech sells computers with custom/upgraded configurations to enhance system performance. If the computer has modifications as listed above, the manufacturer’s box was opened by our highly skilled technicians for testing, inspection, and installation of the upgrades according to the specifications advertised. All computers and components are brand new."", ""Processor: Intel Core i3-1115G4 3.00GHz Processor (11th Gen, upto 4.1 GHz, 6MB Cache, 2-Cores, 4-Threads, )"", ""Processor:"", ""Intel Core i3-1115G4 3.00GHz Processor (11th Gen, upto 4.1 GHz, 6MB Cache, 2-Cores, 4-Threads, )"", ""Storage: 256GB PCIe SSD (Solid State Drive)"", ""Storage:"", ""256GB PCIe SSD (Solid State Drive)"", ""Memory: 16GB DDR4 SO-DIMM"", ""Memory:"", ""16GB DDR4 SO-DIMM"", ""Graphics: Intel UHD Integrated Graphics,"", ""Graphics:"", ""Intel UHD Integrated Graphics,"", ""Operating System: Windows 11 Home S-Mode-64"", ""Operating System:"", ""Windows 11 Home S-Mode-64"", ""Connectivity: 802.11a/b/g/n/ac Wifi, Bluetooth 5.2, Ethernet LAN (RJ-45)"", ""Connectivity:"", ""802.11a/b/g/n/ac Wifi, Bluetooth 5.2, Ethernet LAN (RJ-45)"", ""Camera: 720p HD Webcam"", ""Camera:"", ""720p HD Webcam"", ""Input/Output:, Silver,"", ""Input/Output:"", "", Silver,"", ""Display: 17.3\"" HD+ (1600x900) 60Hz 16:9 IPS Display"", ""Display:"", ""17.3\"" HD+ (1600x900) 60Hz 16:9 IPS Display"", ""Ports/Slots: 2 USB 3.1 Gen1, 1 USB 2.0, 1 HDMI, SD Card Reader, No Optical Drive, Headphone/Microphone Combo Jack"", ""Ports/Slots:"", ""2 USB 3.1 Gen1, 1 USB 2.0, 1 HDMI, SD Card Reader, No Optical Drive, Headphone/Microphone Combo Jack"", ""Battery: 45W Power Supply, 3-Cell 41 WHr Battery"", ""Battery:"", ""45W Power Supply, 3-Cell 41 WHr Battery"", ""Color: Natural Silver"", ""Color:"", ""Natural Silver"", ""Form/Style: Standard"", ""Form/Style:"", ""Standard"", ""Product Dimensions (WxLxH): 16.5 IN x 10.75 IN x 1 IN. Weight:  5lb"", ""Product Dimensions (WxLxH): 16.5 IN x 10.75 IN x 1 IN."", ""Weight:"", ""5lb"", ""1 Year Manufacturer warranty from GreatPriceTech (Professionally upgraded by GreatPriceTech)"", ""1 Year Manufacturer warranty from GreatPriceTech (Professionally upgraded by GreatPriceTech)""]"
B009AEVMH2,laptop,ASUS S56 15-Inch Laptop [OLD VERSION],3.6,115,,ASUS,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""Intel Core i5 3317U 1.7 GHz"", ""6 GB DDR3"", ""750 GB 5400 rpm Hard Drive, 24 GB Solid-State Drive"", ""15.6-Inch Screen, Intel HD Graphics 4000"", ""Windows 8""]","[""Product Description"", ""Black, 15.6-Inch HD (1366 x 768), Intel Core i5-3317U (1.7GHz), 6GB DDR3, Intel HD Graphics 4000, 750GB 5400RPM + 24G SSD/DL, DVD±RW/CDRW, W8 Home Premium (64bit), 802.11BGN, HD Camera, 1YR Global/1YR Accidental Damage/30-Day Zero Bright Dot/2-way FREE shipping/24-7 tech support"", ""Amazon.com""]"
B00Q9Z0LFY,laptop,Acer Aspire E 15 (ES1-512-C12D) 15.6-Inch 2GB 320GB Windows 8.1 Laptop,3.7,25,,acer,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""Acer Aspire ES1-512-C12D"", ""Acer ES1-512 15.6\"" Laptop with 2GB Memory, 320GB Hard Drive and Windows 8.1"", ""Processor : Intel Celeron N2840,Operating System : Windows 8.1"", ""Display : 15.6” HD Wide Screen LED,Hard Drive : 320GB, DVD Drive Sold Separately."", ""Acer Power Management & Acer Recovery Management Microsoft Office Trial Amazon Kindle Amazon 1 Button Security McAfee Internet Security Suite Trial Multimedia Netflix Hulu Acer Games AcerCloud Communication Skype""]","[""Acer Aspire ES1-512-C12D Processor : Intel Celeron N2840 Operating System : Windows 8.1 Display : 15.6” HD Wide Screen LED Memory : 2GB Hard Drive : 320GB Wireless LAN: 802.11 b/g/n Ethernet : 10/100/1000 Gigabit-RJ45 Bluetooth : 4.0 : Ports : 2-USB 2.0, 1 USB 3.0, 1 HDMI Weight : 5.29lbs Warranty : 1 Yr Limited Software : Windows 8.1 with Bing Productivity Acer Power Management & Acer Recovery Management Microsoft Office Trial Amazon Kindle Amazon 1 Button Security McAfee Internet Security Suite Trial Multimedia Netflix Hulu Acer Games AcerCloud Communication Skype""]"
B004VC3NM0,laptop,Dell Latitude D630 + Windows 7 notebook laptop computer,3.4,395,111.0,Dell,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""Dell D630""]","[""The Latitude has always been Dell's flagship model for Notebooks. They were originally designed for heavy use in the corporate environment. Dell built these with higher quality components than you'll find in the typical off the shelf retail model. These are perfect for business or home. This laptop has been fully refurbished by a Microsoft Authorized Refurbisher. Every component is cleaned and tested for full functionality. Cosmetics are improved to show only minor wear. A fresh installation of Windows Professional is performed with the included license. Dell Latitude D630 Laptop Notebook CPU: Intel Core 2 Duo 1.8 GHz Processor Ram: 2 GB DDR2 Hard Drive: 160 GB SATA USB: USB 2.0 ports for connectivity Network: Onboard Gigabit Network Adapter included Operating System: Windows Professional 32 Bit This computer will arrive at your doorstep ready to use right out of the box. All necessary cables are included. This computer also includes a trial version of Microsoft Office 365. This enables you to try the all new version of Word-Excel-and Powerpoint for free. A standard open source Office Suite is also included. Microsoft Office 365 purchases beyond the included trial are not returnable or refundable. Microsoft is discontinuing offering Windows 7; this product is sold with either Windows 7 or Windows 10. Microsoft license terms for Windows 10 will include the downgrade rights to Windows 7.""]"
B09HYX41DV,laptop,"Lenovo IdeaPad Thin and Light Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Processor (Beats i7-1185G7), 20GB RAM, 1TB PCIe SSD, Backlit Keyboard, Fingerprint Reader, Windows 11, Grey (Latest Model)",4.2,183,819.0,Lenovo,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""【Upgraded】RAM is upgraded to 20 GB high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once; Hard Drive is upgraded to 1 TB PCIe NVMe M.2 Solid State Drive to allow faster bootup and data transfer. Original Seal is opened for upgrade ONLY. If the computer has modifications (listed above), then the manufacturer box is opened for it to be tested and inspected and to install the upgrades to achieve the specifications as advertised."", ""【Processor】AMD Ryzen 5 5500U 2.10GHz 6-Core Processor (11MB Cache, up to 4.00GHz)"", ""【Display】15.6\"" FHD (1920x1080) TN 220nits Anti-glare"", ""【Operating System】Windows 11 Home, 64-bit, English""]","[""Processor:"", ""AMD Ryzen 5 5500U 2.10GHz 6-Core Processor (11MB Cache, up to 4.00GHz)"", ""Graphics:"", ""AMD Radeon Graphics"", ""Operating system:"", ""Windows 11 Home 64-bit"", ""Memory:"", ""20GB DDR4 SDRAM"", ""Hard Drive:"", ""1TB PCIe NVMe M.2 Solid State Drive"", ""Optical Drive:"", ""No"", ""Display:"", ""15.6\"" FHD (1920x1080) TN 220nits Anti-glare"", ""Touchscreen:"", ""No"", ""Connectivity:"", ""2 x 2 802.11AC Wi-Fi and Bluetooth 5.0 Combo"", ""Audio:"", ""2 x 1.5W Speakers with Dolby Audio"", ""Keyboard:"", ""US English, Backlit Full Size Keyboard"", ""Built-in HD Webcam:"", ""720P Camera with Privacy Shutter and Dual Array Microphones"", ""Media Drive:"", ""Multi-format SD media card reader"", ""Ports:"", ""1 x USB 2.0"", ""1 x USB 2.0"", ""2 x USB 3.2 Gen 1"", ""2 x USB 3.2 Gen 1"", ""1 x AC smart pin"", ""1 x AC smart pin"", ""1 x HDMI 1.4b"", ""1 x HDMI 1.4b"", ""1 x Headphone / Mic Combo Jack"", ""1 x Headphone / Mic Combo Jack"", ""Battery:"", ""Up to 9.5 Hours"", ""Color:"", ""Arctic Grey"", ""Dimensions L x W x H (inches):"", ""14.25 x 9.98 x 0.79"", ""Weight:"", ""3.74 lbs""]"
B01M9CH0T9,laptop,"DELL Flagship Inspiron 2-in-1 13.3"" Touch-Screen Laptop - Intel Core i5 -7200U - 8GB Memory - 256GB Solid State Drive - Gray",3.6,30,489.0,Dell,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""2 in 1 Laptops""]","[""13.3\"" Full HD 1920 x 1080 touch screen, IPS technology, WLED backlight"", ""7th Gen Intel Core i5-7200U (3M Cache, up to 3.10 GHz) mobile processor"", ""8GB DDR4 SDRAM, 256GB solid state drive (SSD)"", ""Weighs 3.53 lbs. and measures 0.7\"" thin"", ""360° flip-and-fold design, Intel HD Graphics 620, MaxxAudio, 2 USB 3.0, 1 USB 2.0, HDMI output, Built-in media reader, Built-in HD webcam with two microphones, Backlit keyboard""]","[""The Inspiron 13\"" 7000 2-in-1 has a sleek new design that emphasizes more screen and less bezel, pointing your attention at the brilliant wide-angle display. A versatile 360 hinge enables four modes to suit your environment. Use laptop mode for typing out a paper, tent mode for working in shallow footprint spaces like a kitchen counter or workbench, Stand mode for streaming your favorite movie or tablet mode for keeping up on social media. Wide-viewing-angle screens provide a clear view in all of these modes. “High resolution touchpad” gives more fluid panning, pinching and zooming, for an experience that's touchscreen-smooth and quick the latest processors from Intel handle today's software easily and provide zippy, responsive performance.""]"
